LAT,LON,TYPE,NAME,COUNTRY,CITY,IATA
18.30290031,109.4120026,LAR,Sanya Phoenix International Airport,CN,Sanya,SYX
29.82670021,121.461998,LAR,Ningbo Lishe International Airport,CN,Ningbo,NGB
39.78279877,116.3880005,LAR,Beijing Nanyuan Airport,CN,Beijing,NAY
22.60829926,108.1719971,LAR,Nanning Wuxu Airport,CN,Nanning,NNG
31.74200058,118.8619995,LAR,Nanjing Lukou Airport,CN,Nanjing,NKG
36.85720062,117.2160034,LAR,Yaoqiang Airport,CN,Jinan,TNA
40.851398,111.823997,LAR,Baita International Airport,CN,Hohhot,HET
45.62340164,126.25,LAR,Taiping Airport,CN,Harbin,HRB
30.22949982,120.4339981,LAR,Hangzhou Xiaoshan International Airport,CN,Hangzhou,HGH
19.93490028,110.4589996,LAR,Haikou Meilan International Airport,CN,Haikou,HAK
26.53849983,106.8010025,LAR,Longdongbao Airport,CN,Guiyang,KWE
25.21809959,110.0390015,LAR,Guilin Liangjiang International Airport,CN,Guilin City,KWL
23.39240074,113.2990036,LAR,Guangzhou Baiyun International Airport,CN,Guangzhou,CAN
25.93510056,119.663002,LAR,Fuzhou Changle International Airport,CN,Fuzhou,FOC
38.96569824,121.5390015,LAR,Zhoushuizi Airport,CN,Dalian,DLC
29.71920013,106.6419983,LAR,Chongqing Jiangbei International Airport,CN,Chongqing,CKG
30.57850075,103.9469986,LAR,Chengdu Shuangliu International Airport,CN,Chengdu,CTU
28.18919945,113.2200012,LAR,Changsha Huanghua International Airport,CN,Changsha,CSX
40.08010101,116.5849991,LAR,Beijing Capital International Airport,CN,Beijing,PEK
7.06888,-70.7369,MED,Santiago Perez Airport,CO,Arauca,AUC
4.27624,-74.7967,MED,Santiago Vila Airport,CO,Girardot,GIR
3.54322,-76.3816,MED,Alfonso Bonilla Aragon International Airport,CO,Cali,CLO
12.5836,-81.7112,MED,Gustavo Rojas Pinilla International Airport,CO,San Andreas,ADZ
1.58919,-75.5644,MED,Gustavo Artunduaga Paredes Airport,CO,Florencia,FLA
4.70159,-74.1469,LAR,El Dorado International Airport,CO,Bogota,BOG
9.163949,-83.330171,MED,Buenos Aires Airport,CR,Punta Arenas,BAI
9.957050323,-84.13980103,MED,Tobias Bolanos International Airport,CR,San Jose,SYQ
9.993860245,-84.20880127,MED,Juan Santamaria International Airport,CR,San Jose,SJO
19.90649986,-75.20709991,MED,Leeward Point Field,CU,Guantanamo Bay Naval Station,NBW
21.83469963,-82.78379822,MED,Rafael Cabrera Airport,CU,Nueva Gerona,GER
20.28809929,-77.08920288,MED,Sierra Maestra Airport,CU,Manzanillo,MZO
23.03280067,-82.57939911,MED,Playa Baracoa Airport,CU,Havana,UPB
20.08530045,-75.15830231,MED,Mariana Grajales Airport,CU,Guantanamo,GAO
19.96980095,-75.83540344,MED,Antonio Maceo International Airport,CU,Santiago,SCU
22.49220085,-79.94360352,MED,Abel Santamaria Airport,CU,Santa Clara,SNU
22.98920059,-82.40910339,LAR,Jose Martina­ International Airport,CU,Havana,HAV
35.15470123,33.49610138,MED,Ercan International Airport,CY,Nicosia,ECN
50.1008,14.26,LAR,Vaiclav Havel Airport Prague,CZ,Prague,PRG
52.319199,10.5561,MED,Braunschweig-Wolfsburg Airport,DE,Braunschweig,BWE
48.425278,10.931667,MED,Augsburg Airport,DE,Augsburg,AGB
50.04980087,8.325400352,MED,Wiesbaden Army Airfield,DE,Wiesbaden,WIE
53.87870026,14.15229988,MED,Heringsdorf Airport,DE,Heringsdorf,HDF
53.53527832,9.83555603,MED,Hamburg-Finkenwerder Airport,DE,Hamburg,XFW
49.9487,7.26389,MED,Frankfurt-Hahn Airport,DE,Frankfurt am Main,HHN
49.959999,8.645833,MED,Frankfurt-Egelsbach Airport,DE,Frankfurt am Main,QEF
49.985001,11.64,MED,Bayreuth Airport,DE,Bayreuth,BYU
50.981945,12.506389,MED,Altenburg-Nobitz Airport,DE,Altenburg,AOC
48.353802,11.7861,LAR,Munich Airport,DE,Munich,MUC
52.5597,13.2877,LAR,Berlin-Tegel Airport,DE,Berlin,TXL
48.68989944,9.221960068,LAR,Stuttgart Airport,DE,Stuttgart,STR
49.498699,11.078056,LAR,Nuremberg Airport,DE,Nuremberg,NUE
51.423889,12.236389,LAR,Leipzig/Halle Airport,DE,Leipzig,LEJ
52.46110153,9.685079575,LAR,Hannover Airport,DE,Hannover,HAJ
53.63040161,9.988229752,LAR,Hamburg Airport,DE,Hamburg,HAM
50.033333,8.570556,LAR,Frankfurt am Main Airport,DE,Frankfurt am Main,FRA
51.13280106,13.76720047,LAR,Dresden Airport,DE,Dresden,DRS
51.5182991,7.612239838,LAR,Dortmund Airport,DE,Dortmund,DTM
50.86589813,7.142739773,LAR,Cologne Bonn Airport,DE,Cologne,CGN
53.04750061,8.786669731,LAR,Bremen Airport,DE,Bremen,BRE
51.289501,6.76678,LAR,Dasseldorf Airport,DE,Dasseldorf,DUS
48.77939987,8.080499649,LAR,Karlsruhe Baden-Baden Airport,DE,Baden-Baden,FKB
